#,Side,Entry Time,Exit Time,Entry Price,Exit Price,P&L,Duration,Entry Reason,Exit Reason
2549,PUT,2026-02-25T13:15:00+05:30,2026-02-25T13:16:00+05:30,25461.85,25466.25,-4.40,1m0s,"1m PUT entry: EMA6(2546501) EMA9(2546510) < MA21(2546525), close=2546185","1m PUT exit: EMA6(2546537) crossed above EMA9(2546533), close=2546625"
2550,PUT,2026-02-25T13:25:00+05:30,2026-02-25T13:30:00+05:30,25455.75,25473.45,-17.70,5m0s,"1m PUT entry: EMA6(2546312) EMA9(2546499) < MA21(2546650), close=2545575","1m PUT exit: EMA6(2545922) crossed above EMA9(2545919), close=2547345"
2551,CALL,2026-02-25T13:36:00+05:30,2026-02-25T13:44:00+05:30,25473.15,25462.05,-11.10,8m0s,"1m CALL entry: EMA6(2546679) EMA9(2546530) > MA21(2546431), close=2547315","1m CALL exit: EMA6(2546519) crossed below EMA9(2546556), close=2546205"
2552,PUT,2026-02-25T13:46:00+05:30,2026-02-25T13:49:00+05:30,25450.50,25467.40,-16.90,3m0s,"1m PUT entry: EMA6(2545851) EMA9(2546054) < MA21(2546199), close=2545050","1m PUT exit: EMA6(2546347) crossed above EMA9(2546330), close=2546740"
2553,CALL,2026-02-25T13:52:00+05:30,2026-02-25T14:00:00+05:30,25467.45,25459.05,-8.40,8m0s,"1m CALL entry: EMA6(2546624) EMA9(2546554) > MA21(2546533), close=2546745","1m CALL exit: EMA6(2546736) crossed below EMA9(2546769), close=2545905"
2554,PUT,2026-02-25T14:02:00+05:30,2026-02-25T14:12:00+05:30,25454.95,25461.10,-6.15,10m0s,"1m PUT entry: EMA6(2546321) EMA9(2546462) < MA21(2546538), close=2545495","1m PUT exit: EMA6(2545046) crossed above EMA9(2544993), close=2546110"
2555,CALL,2026-02-25T14:16:00+05:30,2026-02-25T14:26:00+05:30,25466.55,25469.90,3.35,10m0s,"1m CALL entry: EMA6(2545892) EMA9(2545668) > MA21(2545482), close=2546655","1m CALL exit: EMA6(2547710) crossed below EMA9(2547734), close=2546990"
2556,PUT,2026-02-25T14:29:00+05:30,2026-02-25T14:34:00+05:30,25448.55,25475.70,-27.15,5m0s,"1m PUT entry: EMA6(2546085) EMA9(2546491) < MA21(2546807), close=2544855","1m PUT exit: EMA6(2547007) crossed above EMA9(2546940), close=2547570"
2557,CALL,2026-02-25T14:39:00+05:30,2026-02-25T14:42:00+05:30,25477.95,25460.15,-17.80,3m0s,"1m CALL entry: EMA6(2547718) EMA9(2547580) > MA21(2547545), close=2547795","1m CALL exit: EMA6(2547155) crossed below EMA9(2547243), close=2546015"
2558,PUT,2026-02-25T14:43:00+05:30,2026-02-25T14:55:00+05:30,25460.25,25466.05,-5.80,12m0s,"1m PUT entry: EMA6(2546832) EMA9(2546999) < MA21(2547031), close=2546025","1m PUT exit: EMA6(2545574) crossed above EMA9(2545571), close=2546605"
